iter	Logloss
0	0.6689424492
1	0.6448902737
2	0.6234057464
3	0.6043589225
4	0.587075478
5	0.5709346332
6	0.5550504217
7	0.5440317054
8	0.5332513026
9	0.5237521281
10	0.5156397277
11	0.508449281
12	0.5012367622
13	0.493667566
14	0.4853784927
15	0.4785641107
16	0.4704654946
17	0.465715908
18	0.4592815323
19	0.4542752777
20	0.4495047022
21	0.4448768018
22	0.4323660229
23	0.4261564908
24	0.4218333776
25	0.4172850198
26	0.40573192
27	0.4014152152
28	0.3993155163
29	0.3929999993
30	0.3906779815
31	0.3881626775
32	0.37980913
33	0.3773898203
34	0.3729137149
35	0.3713220363
36	0.3643082689
37	0.360109967
38	0.3552583382
39	0.3522151929
40	0.3501731107
41	0.3485156039
42	0.34730857
43	0.3461916617
44	0.3442321809
45	0.3426595257
46	0.3403191777
47	0.337422981
48	0.3357202523
49	0.3342870355
50	0.3285858414
51	0.3278012321
52	0.3267064608
53	0.3260364074
54	0.3249050527
55	0.3237375069
56	0.3226453135
57	0.3213068305
58	0.3197669894
59	0.318734235
60	0.3174815062
61	0.3154587538
62	0.313883487
63	0.3121781511
64	0.311559153
65	0.3109921998
66	0.3100705144
67	0.3091880015
68	0.307990119
69	0.3076161654
70	0.3067817714
71	0.3062699578
72	0.3054927664
73	0.3048438641
74	0.3024456969
75	0.3011074893
76	0.300764324
77	0.3000424003
78	0.2993888253
79	0.2986742888
80	0.2978832859
81	0.2976175955
82	0.2967863063
83	0.2959072653
84	0.2950775924
85	0.2945559815
86	0.2942757972
87	0.2934097135
88	0.2928939842
89	0.2914640185
90	0.2903604542
91	0.2891139571
92	0.2884435363
93	0.2882342389
94	0.2879902468
95	0.2877427977
96	0.2864806979
97	0.2862309799
98	0.2848050414
99	0.2835083012
100	0.2832312745
101	0.282997321
102	0.2822468247
103	0.2820440826
104	0.2814076736
105	0.2808872745
106	0.2806937895
107	0.2804852756
108	0.2802835548
109	0.2788739978
110	0.2777533576
111	0.2775089898
112	0.2771874902
113	0.2755034062
114	0.2748082945
115	0.2746033914
116	0.2741873873
117	0.2738127235
118	0.2733101698
119	0.2728838734
120	0.2725063694
121	0.2721714578
122	0.2719431509
123	0.2712365177
124	0.2710778436
125	0.2707516796
126	0.2703468987
127	0.2701812588
128	0.2698696962
129	0.2690133107
130	0.2688810667
131	0.2684428646
132	0.2680725877
133	0.2678778192
134	0.2676072212
135	0.2672318154
136	0.2669368577
137	0.2666474481
138	0.2657705579
139	0.2656075041
140	0.2653424296
141	0.2652441023
142	0.264906199
143	0.2647251801
144	0.2645344134
145	0.2639501462
146	0.2634432335
147	0.263006874
148	0.2626704739
149	0.262552593
150	0.2624014864
151	0.2613423449
152	0.2612105345
153	0.2611112688
154	0.2607697334
155	0.2606699386
156	0.260447194
157	0.2603397626
158	0.2600524785
159	0.2599323266
160	0.2593040819
161	0.2591892638
162	0.2590261777
163	0.2587747887
164	0.2579192382
165	0.2578266032
166	0.2574157675
167	0.2573309941
168	0.2571779684
169	0.2566179803
170	0.2555562514
171	0.255404133
172	0.2552744235
173	0.2549297421
174	0.2548423008
175	0.2544860814
176	0.254325307
177	0.2542030387
178	0.2540693873
179	0.2538125497
180	0.253738625
181	0.2535956503
182	0.2534612048
183	0.2533516689
184	0.252496871
185	0.2520074039
186	0.2519222678
187	0.2517575744
188	0.2516351702
189	0.2515312701
190	0.2513385244
191	0.251244085
192	0.2506046486
193	0.2502782866
194	0.2496775699
195	0.2495937848
196	0.249503355
197	0.2494005534
198	0.2492995776
199	0.2492057547
200	0.2490095717
201	0.2489179136
202	0.2488345512
203	0.2487312811
204	0.2483478151
205	0.2481015514
206	0.2478999785
207	0.2477985141
208	0.2477272272
209	0.2476234299
210	0.2472626243
211	0.2471783263
212	0.2469797434
213	0.2468818023
214	0.2467636714
215	0.2466598
216	0.2465265701
217	0.2464566689
218	0.2463460899
219	0.246239778
220	0.2461536486
221	0.245840006
222	0.2457487377
223	0.2456585253
224	0.2453405169
225	0.2451431469
226	0.2447841744
227	0.2444574933
228	0.2443971902
229	0.2441784061
230	0.2441002065
231	0.2439820005
232	0.2438238335
233	0.2436562946
234	0.2433636191
235	0.2432102088
236	0.2431338148
237	0.2430450894
238	0.2427579746
239	0.2426519074
240	0.2425409512
241	0.2422021679
242	0.2420898122
243	0.2420290834
244	0.2418209073
245	0.2417431299
246	0.241652573
247	0.2408254291
248	0.2407242048
249	0.2405903083
250	0.2405097342
251	0.2403895601
252	0.2402784487
253	0.2401727724
254	0.2399973944
255	0.2398949923
256	0.2397170819
257	0.2396001897
258	0.2395180005
259	0.2394573599
260	0.2393656108
261	0.2392662765
262	0.239176574
263	0.2391112948
264	0.2389990619
265	0.2389177119
266	0.238704869
267	0.2386360607
268	0.2384828311
269	0.2383709088
270	0.2382526389
271	0.2379693246
272	0.2378838891
273	0.2376806813
274	0.2376159744
275	0.2375395675
276	0.2373627502
277	0.2372671938
278	0.2371971766
279	0.2370911648
280	0.23701036
281	0.2369405268
282	0.2366586349
283	0.2364444253
284	0.2363899172
285	0.2363139264
286	0.236098752
287	0.2360252649
288	0.2359630812
289	0.2358909476
290	0.2358217144
291	0.2357663929
292	0.2355585342
293	0.2353549817
294	0.2352355034
295	0.2351644622
296	0.2349980172
297	0.2349231503
298	0.2348027049
299	0.2346427096
300	0.2345838871
301	0.2345250188
302	0.2344281965
303	0.234355621
304	0.2340098512
305	0.2337645713
306	0.233678385
307	0.2335777084
308	0.2334733681
309	0.2334163892
310	0.2333223395
311	0.2332729211
312	0.2331930709
313	0.2329800296
314	0.2329149619
315	0.2328184625
316	0.232714688
317	0.2326538692
318	0.232576852
319	0.2325274617
320	0.2323662858
321	0.2322874783
322	0.2322211938
323	0.2321485976
324	0.2320633672
325	0.232018207
326	0.2319492203
327	0.2316498765
328	0.2315747746
329	0.231512736
330	0.2313700423
331	0.2313095294
332	0.2312533235
333	0.2311963109
334	0.2311169444
335	0.2310790457
336	0.2310380597
337	0.2309739766
338	0.2309216236
339	0.2308464989
340	0.2307547677
